Sweep,SD,Value,PC
33,3,91.454,PC1
34,3,92.07,PC1
35,3,92.633,PC1
36,3,93.141,PC1
37,3,93.619,PC1
38,3,94.058,PC1
39,3,94.458,PC1
40,3,94.841,PC1
41,3,95.201,PC1
42,3,95.537,PC1
43,3,95.827,PC1
44,3,96.087,PC1
45,3,96.312,PC1
46,3,96.511,PC1
47,3,96.709,PC1
48,3,96.82,PC1
49,3,96.935,PC1
50,3,96.982,PC1
51,3,97.042,PC1
52,3,97.023,PC1
53,3,96.987,PC1
54,3,96.941,PC1
55,3,96.822,PC1
56,3,96.693,PC1
57,3,96.554,PC1
58,3,96.357,PC1
59,3,96.179,PC1
60,3,95.89,PC1
61,3,95.608,PC1
62,3,95.272,PC1
63,3,94.903,PC1
64,3,94.543,PC1
65,3,94.132,PC1
66,3,93.647,PC1
67,3,93.155,PC1
68,3,92.589,PC1
69,3,92.021,PC1
70,3,91.387,PC1
71,3,90.728,PC1
72,3,90,PC1
73,3,89.225,PC1
74,3,88.402,PC1
75,3,87.473,PC1
76,3,86.547,PC1
77,3,85.522,PC1
78,3,84.436,PC1
79,3,83.286,PC1
80,3,82.047,PC1
81,3,80.742,PC1
82,3,79.312,PC1
83,3,77.83,PC1
84,3,76.227,PC1
85,3,74.592,PC1
86,3,72.739,PC1
87,3,70.809,PC1
88,3,68.618,PC1
89,3,66.387,PC1
90,3,63.913,PC1
91,3,61.214,PC1
92,3,58.278,PC1
93,3,55.043,PC1
94,3,51.52,PC1
95,3,47.555,PC1
96,3,43.073,PC1
97,3,37.997,PC1
98,3,31.85,PC1
99,3,24.129,PC1
100,3,12.547,PC1
1,4,12.201,PC1
2,4,23.174,PC1
3,4,30.271,PC1
4,4,35.972,PC1
5,4,40.766,PC1
6,4,44.944,PC1
7,4,48.502,PC1
8,4,51.765,PC1
9,4,54.729,PC1
10,4,57.462,PC1
11,4,59.963,PC1
12,4,62.223,PC1
13,4,64.368,PC1
14,4,66.415,PC1
15,4,68.316,PC1
16,4,70.066,PC1
17,4,71.814,PC1
18,4,73.378,PC1
19,4,74.875,PC1
20,4,76.313,PC1
21,4,77.681,PC1
22,4,78.963,PC1
23,4,80.164,PC1
24,4,81.359,PC1
25,4,82.417,PC1
26,4,83.47,PC1
27,4,84.446,PC1
28,4,85.4,PC1
29,4,86.259,PC1
30,4,87.065,PC1
31,4,87.908,PC1
32,4,88.632,PC1
33,4,89.377,PC1
34,4,90.091,PC1
35,4,90.749,PC1
36,4,91.376,PC1
37,4,91.945,PC1
38,4,92.494,PC1
39,4,93.009,PC1
40,4,93.495,PC1
41,4,93.979,PC1
42,4,94.433,PC1
43,4,94.839,PC1
44,4,95.235,PC1
45,4,95.587,PC1
46,4,95.915,PC1
47,4,96.263,PC1
48,4,96.491,PC1
49,4,96.732,PC1
50,4,96.902,PC1
51,4,97.088,PC1
52,4,97.185,PC1
53,4,97.269,PC1
54,4,97.343,PC1
55,4,97.349,PC1
56,4,97.342,PC1
57,4,97.326,PC1
58,4,97.225,PC1
59,4,97.15,PC1
60,4,96.981,PC1
61,4,96.801,PC1
62,4,96.562,PC1
63,4,96.283,PC1
64,4,96.031,PC1
65,4,95.703,PC1
66,4,95.309,PC1
67,4,94.887,PC1
68,4,94.424,PC1
69,4,93.934,PC1
70,4,93.353,PC1
71,4,92.751,PC1
72,4,92.086,PC1
73,4,91.375,PC1
74,4,90.606,PC1
75,4,89.727,PC1
76,4,88.833,PC1
77,4,87.838,PC1
78,4,86.832,PC1
79,4,85.705,PC1
80,4,84.494,PC1
81,4,83.211,PC1
82,4,81.819,PC1
83,4,80.359,PC1
84,4,78.779,PC1
85,4,77.165,PC1
86,4,75.327,PC1
87,4,73.416,PC1
88,4,71.223,PC1
89,4,68.989,PC1
90,4,66.522,PC1
91,4,63.827,PC1
92,4,60.872,PC1
93,4,57.61,PC1
94,4,54.049,PC1
95,4,49.985,PC1
96,4,45.357,PC1
97,4,40.122,PC1
98,4,33.69,PC1
99,4,25.528,PC1
100,4,13.196,PC1
1,5,11.643,PC1
2,5,21.89,PC1
3,5,28.516,PC1
4,5,33.936,PC1
5,5,38.532,PC1
6,5,42.561,PC1
7,5,45.997,PC1
8,5,49.155,PC1
9,5,52.053,PC1
10,5,54.738,PC1
11,5,57.177,PC1
12,5,59.39,PC1
13,5,61.517,PC1
14,5,63.53,PC1
15,5,65.424,PC1
16,5,67.149,PC1
17,5,68.937,PC1
18,5,70.507,PC1
19,5,72.003,PC1
20,5,73.473,PC1
21,5,74.871,PC1
22,5,76.194,PC1
23,5,77.432,PC1
24,5,78.683,PC1
25,5,79.783,PC1
26,5,80.89,PC1
27,5,81.923,PC1
28,5,82.956,PC1
29,5,83.882,PC1
30,5,84.745,PC1
31,5,85.675,PC1
32,5,86.469,PC1
33,5,87.3,PC1
34,5,88.113,PC1
35,5,88.865,PC1
36,5,89.61,PC1
37,5,90.272,PC1
38,5,90.929,PC1
39,5,91.561,PC1
40,5,92.15,PC1
41,5,92.758,PC1
42,5,93.33,PC1
43,5,93.852,PC1
44,5,94.382,PC1
45,5,94.862,PC1
46,5,95.319,PC1
47,5,95.817,PC1
48,5,96.163,PC1
49,5,96.529,PC1
50,5,96.822,PC1
51,5,97.133,PC1
52,5,97.347,PC1
53,5,97.551,PC1
54,5,97.744,PC1
55,5,97.876,PC1
56,5,97.991,PC1
57,5,98.098,PC1
58,5,98.094,PC1
59,5,98.122,PC1
60,5,98.072,PC1
61,5,97.994,PC1
62,5,97.852,PC1
63,5,97.663,PC1
64,5,97.519,PC1
65,5,97.273,PC1
66,5,96.971,PC1
67,5,96.618,PC1
68,5,96.26,PC1
69,5,95.848,PC1
70,5,95.32,PC1
71,5,94.774,PC1
72,5,94.171,PC1
73,5,93.524,PC1
74,5,92.81,PC1
75,5,91.981,PC1
76,5,91.118,PC1
77,5,90.155,PC1
78,5,89.228,PC1
79,5,88.123,PC1
80,5,86.942,PC1
81,5,85.679,PC1
82,5,84.327,PC1
83,5,82.888,PC1
84,5,81.331,PC1
85,5,79.737,PC1
86,5,77.915,PC1
87,5,76.023,PC1
88,5,73.828,PC1
89,5,71.59,PC1
90,5,69.13,PC1
91,5,66.439,PC1
92,5,63.467,PC1
93,5,60.177,PC1
94,5,56.578,PC1
95,5,52.415,PC1
96,5,47.642,PC1
97,5,42.248,PC1
98,5,35.531,PC1
99,5,26.926,PC1
100,5,13.845,PC1
1,1,11.518,PC2
2,1,22.003,PC2
3,1,29.011,PC2
4,1,34.584,PC2
5,1,39.396,PC2
6,1,43.566,PC2
7,1,47.101,PC2
8,1,50.448,PC2
9,1,53.457,PC2
10,1,56.212,PC2
11,1,58.786,PC2
12,1,61.122,PC2
13,1,63.307,PC2
14,1,65.434,PC2
15,1,67.419,PC2
16,1,69.259,PC2
17,1,71.091,PC2
18,1,72.748,PC2
19,1,74.35,PC2
20,1,75.826,PC2
21,1,77.28,PC2
22,1,78.626,PC2
23,1,79.9,PC2
24,1,81.172,PC2
25,1,82.291,PC2
26,1,83.415,PC2
27,1,84.446,PC2
28,1,85.457,PC2
29,1,86.366,PC2
30,1,87.235,PC2
31,1,88.132,PC2
32,1,88.933,PC2
33,1,89.702,PC2
34,1,90.434,PC2
35,1,91.113,PC2
36,1,91.763,PC2
37,1,92.351,PC2
38,1,92.904,PC2
39,1,93.455,PC2
40,1,93.946,PC2
41,1,94.43,PC2
42,1,94.868,PC2
43,1,95.267,PC2
44,1,95.645,PC2
45,1,95.958,PC2
46,1,96.25,PC2
47,1,96.551,PC2
48,1,96.724,PC2
49,1,96.855,PC2
50,1,96.924,PC2
51,1,97.002,PC2
52,1,97.015,PC2
53,1,96.962,PC2
54,1,96.873,PC2
55,1,96.708,PC2
56,1,96.547,PC2
57,1,96.331,PC2
58,1,96.035,PC2
59,1,95.793,PC2
60,1,95.386,PC2
61,1,94.993,PC2
62,1,94.546,PC2
63,1,94.033,PC2
64,1,93.546,PC2
65,1,92.974,PC2
66,1,92.356,PC2
67,1,91.692,PC2
68,1,91.009,PC2
69,1,90.279,PC2
70,1,89.461,PC2
71,1,88.651,PC2
72,1,87.768,PC2
73,1,86.811,PC2
74,1,85.848,PC2
75,1,84.766,PC2
76,1,83.666,PC2
77,1,82.497,PC2
78,1,81.246,PC2
79,1,79.956,PC2
80,1,78.579,PC2
81,1,77.183,PC2
82,1,75.602,PC2
83,1,73.977,PC2
84,1,72.273,PC2
85,1,70.507,PC2
86,1,68.559,PC2
87,1,66.515,PC2
88,1,64.234,PC2
89,1,61.953,PC2
90,1,59.387,PC2
91,1,56.587,PC2
92,1,53.636,PC2
93,1,50.343,PC2
94,1,46.837,PC2
95,1,42.982,PC2
96,1,38.673,PC2
97,1,33.88,PC2
98,1,28.186,PC2
99,1,21.177,PC2
100,1,11.015,PC2
1,2,12.139,PC2
2,2,23.23,PC2
3,2,30.518,PC2
4,2,36.296,PC2
5,2,41.198,PC2
6,2,45.447,PC2
7,2,49.054,PC2
8,2,52.412,PC2
9,2,55.431,PC2
10,2,58.199,PC2
11,2,60.767,PC2
12,2,63.089,PC2
13,2,65.263,PC2
14,2,67.367,PC2
15,2,69.313,PC2
16,2,71.121,PC2
17,2,72.891,PC2
18,2,74.498,PC2
19,2,76.048,PC2
20,2,77.49,PC2
21,2,78.885,PC2
22,2,80.179,PC2
23,2,81.398,PC2
24,2,82.604,PC2
25,2,83.671,PC2
26,2,84.733,PC2
27,2,85.708,PC2
28,2,86.65,PC2
29,2,87.501,PC2
30,2,88.31,PC2
31,2,89.136,PC2
32,2,89.864,PC2
33,2,90.578,PC2
34,2,91.252,PC2
35,2,91.873,PC2
36,2,92.452,PC2
37,2,92.985,PC2
38,2,93.481,PC2
39,2,93.956,PC2
40,2,94.393,PC2
41,2,94.815,PC2
42,2,95.202,PC2
43,2,95.547,PC2
44,2,95.866,PC2
